,product,description,tags
0,2% BHA Liquid Exfoliant,"Our #1 product worldwide + cult favorite, this gentle leave-on exfoliant with salicylic acid quickly unclogs pores, smooths wrinkles, brightens and evens out skin tone.
Clears & minimizes enlarged pores
BHA (beta hydroxy acid) sheds built-up layers of skin
Fluid, lightweight texture absorbs quickly 
Use up to twice daily after cleansing & toning skin","AHA & BHA Exfoliants, Best Sellers, Anti-Aging, Anti-Pollution Skin Care, Blackheads, Dull Skin, Enlarged Pores, Redness, Uneven Skin Tone, Wrinkles, Skin Perfecting, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Extra Sensitive Skin, Normal Skin, Oily Skin"
1,25% AHA + 2% BHA Exfoliant Peel,"A multi-acid, rinse-off exfoliant peel that dramatically resurfaces skin to visibly smooth wrinkles, refine rough, bumpy texture, brighten tone & unclog pores.
25% AHA blend addresses advanced signs of aging
2% BHA unclogs & decongests enlarged pores
Smooth, liquid-gel texture
Rinse-off formula leaves skin soft & glowing","AHA & BHA Exfoliants, Anti-Aging, Blackheads, Dull Skin, Enlarged Pores, Skin Perfecting, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
2,Niacinamide + BHA Duo,"2% BHA clears pores allowing 10% niacinamide to quickly improve uneven tone, minimize pores and visibly reduce wrinkles and discolorations.
Quickly unclogs pores
Visibly minimizes pore size
Brightens & evens skin tone
Use together up to twice daily","AHA & BHA Exfoliants, Anti-Aging Boosters, Kits & Sets, Anti-Aging, Anti-Pollution Skin Care, Blackheads, Dull Skin, Enlarged Pores, Redness, Uneven Skin Tone, Wrinkles, Boosters, Skin Perfecting, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
3,BHA 9 Treatment,"This unique, concentrated leave-on BHA exfoliant with salicylic acid works wonders to improve the appearance of stubborn skin concerns such as enlarged or clogged pores, bumps, and patches of rough, dry skin. It’s suitable even for skin prone to milia.
Delivers controlled, sustained release of salicylic acid
Minimizes the appearance of enlarged pores
Diminishes the appearance of hard, white bumps
Use as the last step in your evening skincare routine","AHA & BHA Exfoliants, Anti-Aging, Blackheads, Bumpy Skin, Dull Skin, Enlarged Pores, Skin Perfecting, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
4,Weightless Body Treatment 2% BHA,"This leave-on body exfoliant with 2% BHA, also known as salicylic acid, gently exfoliates built-up layers of dead skin to reveal the radiant, smooth skin hiding underneath.
2% salicylic acid softens and refines rough skin
Antioxidants safeguard skin and keep it healthy
Silky lightweight lotion feels beautiful on skin
Ideal for hard, clogged pores on the arms and legs","AHA & BHA Exfoliants, Best Sellers, Body Care, Anti-Aging, Bumpy Skin, Dull Skin, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
5,Acne Body Spray,"A body exfoliant with salicylic acid that fights acne fast and prevents new breakouts while calming redness. The easy-to-use spray can be held at any angle to reach stubborn acne on hard-to-reach areas of the body.
Maximum strength to combat stubborn acne
Alcohol-free formula
Fluid formula produces rapid results
Use daily on clean skin, do not rinse","AHA & BHA Exfoliants, Body Care, Acne Breakouts, Blackheads, Bumpy Skin, Clear for Acne, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
6,Extra Strength Anti-Redness Exfoliating Solution With 2% Salicylic Acid,"This gentle leave-on exfoliant with salicylic acid clears stubborn acne and blackheads with a maximum pore-penetrating formula. It also calms redness and provides light hydration for healthy, flake-free skin.
For stubborn acne
Unclogs blackheads and minimizes pore size
Water-light yet potent formula produces fast results
Use up to twice daily after cleansing skin","AHA & BHA Exfoliants, Best Sellers, Acne Breakouts, Blackheads, Bumpy Skin, Enlarged Pores, Clear for Acne, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
7,Skin Revealing Body Lotion 10% AHA,"This leave-on exfoliant gently removes built-up layers of dead skin, revealing smoother, softer skin from the neck down. It also significantly improves the appearance of hard, clogged, red bumps on arms and legs.
AHA reveals younger-looking, hydrated skin
Smooths away dry skin, visibly improving texture
Creamy formula leaves skin soft & moisturized","AHA & BHA Exfoliants, Body Care, Anti-Aging, Bumpy Skin, Dehydrated Skin, Dull Skin, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
8,8% AHA Gel Exfoliant,"A unique AHA gel exfoliant with glycolic acid that removes built-up layers of dead skin revealing smoother, firmer-looking skin.
Revitalizes uneven skin tone
Smooths the appearance of wrinkles
Weightless gel texture perfects skin’s surface
Use up to twice daily after cleansing & toning skin","AHA & BHA Exfoliants, Anti-Aging, Dull Skin, Wrinkles, Skin Perfecting, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Normal Skin, Oily Skin"
9,Regular Strength Anti-Redness Exfoliating Solution With 2% Salicylic Acid,"This gentle leave-on exfoliant with salicylic acid clears breakouts, unclogs and minimizes pores and fades red marks from past breakouts.
For mild to moderate acne
Water-light yet potent formula produces fast results
Use up to twice daily after cleansing skin","AHA & BHA Exfoliants, Best Sellers, Acne Breakouts, Blackheads, Bumpy Skin, Enlarged Pores, Redness, Clear for Acne, All Skin Types, Combination Skin, Dry%2FVery Dry Skin, Extra Sensitive Skin, Normal Skin, Oily Skin"
